Númer,Heiti,Einingar,Kennslumisseri,Námstig,Slóð
NÆR703F,Vísindaleg vinnubrögð í matvæla- og næringarfræði,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70652120176&kennsluar=2017
SÁL420F,Starfsþjálfun í sálfræðiráðgjöf,5,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70652220180&kennsluar=2017
SÁL234F,Starfsþjálfun í sálfræðiráðgjöf,5,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70652420176&kennsluar=2017
GFR328M,Eðli og hlutverk kristinnar kirkju og tengsl hennar við önnur trúarbrögð,10,Vor,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70652620180&kennsluar=2017
FER110F,Menningartengd ferðaþjónusta,10,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70653520176&kennsluar=2017
UMV602M,Fráveitur og skólphreinsun,6,Vor,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70653920180&kennsluar=2017
IÐN119F,Verkefni,"7,5",Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70654420176&kennsluar=2017
IÐN214F,Verkefni,"7,5",Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70654420180&kennsluar=2017
GSS521M,Kennslufræði jarðvísinda,5,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70655120176&kennsluar=2017
EFN412G,Verkleg eðlisefnafræði B,2,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70655720180&kennsluar=2017
EFN314G,Verkleg eðlisefnafræði A,2,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70656020176&kennsluar=2017
ÍÞH308F,Vettvangsnám,30,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70657320176&kennsluar=2017
VIÐ157F,Markaðssetning á netinu,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70658420176&kennsluar=2017
KEN002G,Tengsl skóla og atvinnulífs,5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70659320176&kennsluar=2017
LAN216F,Svæði og menning,10,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70659520180&kennsluar=2017
ENS131G,Samskipti: Tal og hlustun,5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70659620176&kennsluar=2017
ENS132G,Ritun I,5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70659720176&kennsluar=2017
ENS133G,Læsi og orðaforði I,5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70659820176&kennsluar=2017
ENS212G,Framsaga og rökræður,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70659920180&kennsluar=2017
ENS213G,Ritun II,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70660020180&kennsluar=2017
ENS214G,Læsi og orðaforði II,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70660120180&kennsluar=2017
STÆ114F,Framhaldsnámskeið í líkindafræði,10,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70660420176&kennsluar=2017
GSL104G,Eðlisfræði,2,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70662020176&kennsluar=2017
GSL107F,Aðferðafræði vísindarannsókna í heilbrigðisvísindum,4,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70663520176&kennsluar=2017
STÆ526M,Afleiðujöfnur og hreyfikerfi,8,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70671320176&kennsluar=2017
TÖL308G,Tölvuleikjaforritun,6,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70673020176&kennsluar=2017
FÉL087F,Lesnámskeið í félagsfræði-Doktorsnám,10,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70680920176&kennsluar=2017
VIÐ160F,Endurskoðun - I. hluti,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70684120176&kennsluar=2017
ABF902F,Fræðaiðja og rannsóknir,10,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70685020176&kennsluar=2017
FRG116F,Félagsráðgjafahlutverkið og þróun eigin sjálfsmyndar,0,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70685420176&kennsluar=2017
SÁL624G,Umhverfissálfræði,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70688020180&kennsluar=2017
LÝÐ077F,Lýðheilsa á vettvangi,10,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70689320180&kennsluar=2017
IÐN120F,Framkvæmd framleiðslu og þjónustu,"7,5",Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70692020176&kennsluar=2017
ASK113F,Small States and Arctic Governance,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70692720176&kennsluar=2017
